id,name,num_bedrooms,bedroom_type,num_of_beds,num_of_bathrooms,bathroom_type,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42895670,Home in Brooklyn  ,1, Studio ,1,1,shared,Jamel,Brooklyn,Flatlands,40.62208,-73.92569,Private room,40,30,2,8/10/2021,0.05,3,309,0,
50488612,Rental unit in New York ,1, Studio ,3,1,bath,Jillian,Manhattan,Upper East Side,40.77759,-73.94832,Entire home/apt,100,365,1,8/10/2021,0.03,1,213,0,
44804027,Rental unit in New York,3,bedrooms,4,1.5,baths,Merlene,Manhattan,East Harlem,40.79789,-73.93965,Entire home/apt,536,30,9,8/9/2021,0.24,1,89,0,
31743178,Rental unit in Brooklyn,1, Studio ,1,1,bath,Selvete,Brooklyn,Midwood,40.61599,-73.96026,Entire home/apt,90,30,8,8/9/2021,0.13,1,0,0,
47370088,Rental unit in New York,1,bedroom,1,1,bath,Nicholas,Manhattan,Hell's Kitchen,40.75521,-73.99489,Entire home/apt,200,30,3,8/9/2021,0.1,1,0,0,
46788207,Rental unit in New York,1, Studio ,1,1,bath,Stanley,Manhattan,Murray Hill,40.75032,-73.97705,Entire home/apt,100,30,3,8/8/2021,0.09,83,362,0,
46195333,Rental unit in New York ,1, Studio ,1,1,bath,Stanley,Manhattan,Murray Hill,40.74926,-73.97643,Entire home/apt,100,30,1,8/8/2021,0.03,83,365,0,
46787942,Rental unit in New York ,1, Studio ,1,1,bath,Stanley,Manhattan,Murray Hill,40.74858,-73.97724,Entire home/apt,100,30,1,8/8/2021,0.03,83,270,0,
46900455,Condo in New York ,1,bedroom,1,1,shared,Lourdes,Manhattan,Hell's Kitchen,40.76185,-73.98835,Private room,70,30,1,8/8/2021,0.03,1,182,0,
38464396,Home in Brooklyn,1,bedroom,1,2,shared,Anastasia,Brooklyn,Bedford-Stuyvesant,40.67966,-73.94369,Private room,56,30,7,8/7/2021,0.15,9,365,0,
45914075,Rental unit in Brooklyn,2,bedrooms,2,1,bath,Mary,Brooklyn,Greenpoint,40.72965,-73.95813,Entire home/apt,127,30,3,8/7/2021,0.08,1,34,0,
43149336,Rental unit in Brooklyn,1,bedroom,1,1,bath,Ozigbe,Brooklyn,East New York,40.6718,-73.89153,Entire home/apt,80,30,3,8/7/2021,0.07,2,0,0,
16504546,Rental unit in New York ,1,bedroom,1,1,shared,Denise,Manhattan,Civic Center,40.71354,-74.00537,Private room,100,30,1,8/7/2021,0.03,1,83,0,
49855192,Rental unit in New York ,1,bedroom,1,1,bath,Furnished Quarters,Manhattan,Midtown,40.74495,-73.99031,Entire home/apt,227,30,1,8/7/2021,0.03,164,358,0,
12972783,Home in Queens,1,bedroom,1,1,shared,Kamil,Queens,Maspeth,40.72071,-73.89448,Private room,61,30,44,8/3/2021,0.47,3,0,0,
50878609,Rental unit in Brooklyn ,1,bedroom,1,1,shared,Edinson Jose,Brooklyn,Greenpoint,40.72642,-73.95158,Private room,400,30,2,8/2/2021,0.07,1,0,0,
47729102,Serviced apartment in New York ,3,bedrooms,3,1,bath,Urban Furnished,Manhattan,Upper East Side,40.77077103,-73.95748138,Entire home/apt,261,30,2,8/2/2021,0.06,256,210,0,
50199869,Rental unit in Brooklyn ,2,bedrooms,2,1,bath,Bruno,Brooklyn,Bedford-Stuyvesant,40.68214,-73.94376,Entire home/apt,185,30,1,8/2/2021,0.03,1,125,0,
8992894,Townhouse in New York,4,bedrooms,4,2.5,baths,Lorena,Manhattan,Harlem,40.8023,-73.95562,Entire home/apt,950,60,58,8/1/2021,0.58,1,327,0,
44477235,Rental unit in Brooklyn,2,bedrooms,2,1,bath,De,Brooklyn,Bedford-Stuyvesant,40.68528,-73.93984,Entire home/apt,400,30,12,8/1/2021,0.32,2,365,0,
46899528,Rental unit in Brooklyn ,1,bedroom,1,1.5,shared,Eugene,Brooklyn,Bedford-Stuyvesant,40.69437,-73.93235,Private room,37,30,2,8/1/2021,0.06,589,0,0,
45823940,Home in Brooklyn ,1,bedroom,1,1,shared,Damien,Brooklyn,Cypress Hills,40.67948,-73.8917,Private room,80,30,1,8/1/2021,0.03,1,0,0,
49074726,Rental unit in New York ,1,bedroom,2,1,bath,Urban Furnished,Manhattan,Upper East Side,40.76400375,-73.96622467,Entire home/apt,139,30,1,8/1/2021,0.03,256,357,0,
49124533,Hotel in New York,1, Studio ,1,1,private,Tyler,Manhattan,Chelsea,40.74693,-73.99274,Private room,999,1,6,7/31/2021,0.18,9,0,0,Exempt
50263277,Loft in New York ,2,bedrooms,3,2,baths,Narges,Manhattan,Tribeca,40.71747,-74.00354,Entire home/apt,350,30,2,7/31/2021,0.07,1,0,0,
4868571,Rental unit in New York,2,bedrooms,2,1,private,Vanessa,Manhattan,Nolita,40.720318,-73.995308,Private room,300,30,5,7/31/2021,0.06,2,4,0,
13549713,Rental unit in New York,2,bedrooms,2,2,baths,George Steven,Manhattan,Upper West Side,40.78365,-73.9763,Entire home/apt,299,30,4,7/31/2021,0.05,8,188,0,
2111422,Rental unit in New York,1,bedroom,1,1,shared,William,Manhattan,Washington Heights,40.84956,-73.93667,Private room,50,273,5,7/31/2021,0.04,2,189,0,
45732456,Rental unit in Brooklyn ,2,bedrooms,1,1,bath,Luna,Brooklyn,Bedford-Stuyvesant,40.68131,-73.94122,Entire home/apt,120,30,1,7/31/2021,0.03,1,87,0,
46401930,Townhouse in Brooklyn ,1,bedroom,1,1,shared,Hiroki,Brooklyn,Williamsburg,40.70259,-73.94207,Private room,40,30,1,7/31/2021,0.03,267,55,0,
48601560,Rental unit in New York ,1,bedroom,2,1,bath,Stanley,Manhattan,Murray Hill,40.74811,-73.97694,Entire home/apt,160,30,1,7/31/2021,0.03,83,365,0,
49229405,Rental unit in Brooklyn ,4,bedrooms,4,2,baths,Outpost Club,Brooklyn,Williamsburg,40.71557,-73.95716,Entire home/apt,443,30,1,7/31/2021,0.03,12,364,0,
50263492,Rental unit in New York ,1,bedroom,1,1,shared,Maegan,Manhattan,Upper West Side,40.80244,-73.96528,Private room,70,120,1,7/31/2021,0.03,3,220,0,
9740010,Rental unit in Brooklyn,1, Studio ,1,1,bath,Maria,Brooklyn,Williamsburg,40.71924,-73.95767,Entire home/apt,165,30,214,7/30/2021,2.18,2,5,0,
17434184,Townhouse in New York,1,bedroom,2,1.5,shared,Doungrat,Manhattan,Harlem,40.80717,-73.95065,Private room,200,1,36,7/30/2021,0.45,7,251,0,Exempt
34537321,Rental unit in New York,1, Studio ,1,1,bath,Bridge,Manhattan,Upper East Side,40.76048,-73.96175,Entire home/apt,65,30,6,7/30/2021,0.12,16,0,0,
228925,Home in Brooklyn,1,bedroom,2,1,bath,Marceline,Brooklyn,Bedford-Stuyvesant,40.68098,-73.94023,Entire home/apt,100,30,8,7/29/2021,0.09,1,0,0,
30387856,Rental unit in New York ,1,bedroom,1,1,bath,Blueground,Manhattan,West Village,40.729222,-74.002791,Entire home/apt,323,31,1,7/29/2021,0.03,713,295,0,
48995883,Rental unit in Queens,2,bedrooms,3,1,bath,Ugur & Sarina,Queens,Flushing,40.75832,-73.8352,Entire home/apt,100,30,5,7/28/2021,0.15,1,0,0,
26953759,Rental unit in New York,1, Studio ,1,1,bath,Aka Times Square,Manhattan,Theater District,40.75776,-73.98352,Entire home/apt,218,7,3,7/28/2021,0.09,8,364,0,Exempt
30555898,Rental unit in Brooklyn,1,bedroom,1,1,shared,Leo,Brooklyn,Greenpoint,40.72105,-73.94616,Private room,90,30,3,7/27/2021,0.05,2,0,0,
48414050,Rental unit in Brooklyn ,1,bedroom,1,1,shared,Eugene,Brooklyn,Bushwick,40.68935,-73.92028,Private room,39,30,1,7/27/2021,0.03,589,279,0,
50829435,Condo in Brooklyn ,1,bedroom,3,1,private,Aleph,Brooklyn,Prospect-Lefferts Gardens,40.6622,-73.94462,Private room,78,30,1,7/26/2021,0.03,3,84,0,
50637542,Home in Queens ,1,bedroom,1,1,shared,William,Queens,St. Albans,40.70825,-73.75519,Private room,110,30,2,7/25/2021,0.07,1,365,0,
28096425,Rental unit in Brooklyn,1,bedroom,1,1,bath,Nicole,Brooklyn,Crown Heights,40.67377,-73.94034,Entire home/apt,129,30,5,7/24/2021,0.09,1,362,0,
50044566,Rental unit in Brooklyn ,1,bedroom,1,1,shared,Aleph,Brooklyn,Crown Heights,40.67652,-73.95729,Private room,54,30,1,7/24/2021,0.03,32,268,0,
49474557,Rental unit in Brooklyn ,2,bedrooms,2,1,bath,Jana,Brooklyn,Greenpoint,40.72304,-73.94546,Entire home/apt,175,30,1,7/23/2021,0.03,1,173,0,
45784522,Condo in New York ,2,bedrooms,3,2,baths,Genesis,Manhattan,Harlem,40.80951,-73.94201,Entire home/apt,130,30,2,7/22/2021,0.06,1,0,0,
8515213,Loft in New York ,1, Studio ,1,2,baths,David,Manhattan,Midtown,40.75451,-73.98897,Entire home/apt,1571,30,2,7/20/2021,0.02,2,364,0,
45275002,Rental unit in Brooklyn,1, Studio ,1,1,bath,Kevin,Brooklyn,DUMBO,40.70404,-73.98769,Entire home/apt,999,30,16,7/19/2021,0.42,2,89,0,
43203702,Rental unit in New York ,4,bedrooms,5,3,baths,Gretchen,Manhattan,Upper West Side,40.78958,-73.96861,Entire home/apt,799,30,1,7/19/2021,0.03,1,350,0,
21098848,Serviced apartment in New York ,1,bedroom,2,1,bath,Vic,Manhattan,Murray Hill,40.7501,-73.97743,Hotel room,140,30,2,7/18/2021,0.03,83,364,0,
45689218,Rental unit in New York ,1,bedroom,1,1,bath,Furnished Quarters,Manhattan,Upper East Side,40.76949,-73.95883,Entire home/apt,153,30,1,7/18/2021,0.03,164,358,0,
5525510,Rental unit in New York,1,bedroom,1,1,bath,Arya,Manhattan,Little Italy,40.71915,-73.99869,Entire home/apt,78,30,76,7/17/2021,0.74,1,90,0,
34142893,Rental unit in New York,1,bedroom,1,1,shared,Alexandra,Manhattan,Harlem,40.80016,-73.95369,Private room,60,30,6,7/16/2021,0.11,2,0,0,
